data,Inadimplencia_Pct,Concessoes_Credito_RS_Mi,Juros_Medio_Aa_Pct,Data_Extracao
2015-01-01,2.85,258839,24.6,2026-08-22
2015-02-01,2.89,229956,25.32,2026-08-22
2015-03-01,2.85,291616,25.51,2026-08-22
2015-04-01,2.99,270336,26.13,2026-08-22
2015-05-01,3.06,268849,26.74,2026-08-22
2015-06-01,2.96,289575,27.25,2026-08-22
2015-07-01,3.07,271218,28.05,2026-08-22
2015-08-01,3.16,260616,28.56,2026-08-22
2015-09-01,3.16,275624,29.07,2026-08-22
2015-10-01,3.28,261855,29.86,2026-08-22
2015-11-01,3.42,267515,30.13,2026-08-22
2015-12-01,3.42,313109,29.38,2026-08-22
2016-01-01,3.52,221425,31.04,2026-08-22
2016-02-01,3.55,226411,31.53,2026-08-22
2016-03-01,3.58,260522,31.72,2026-08-22
2016-04-01,3.71,240158,32.13,2026-08-22
2016-05-01,3.79,255121,32.24,2026-08-22
2016-06-01,3.57,267857,32.09,2026-08-22
2016-07-01,3.61,234920,32.55,2026-08-22
2016-08-01,3.69,252338,32.7,2026-08-22
2016-09-01,3.74,247979,32.72,2026-08-22
2016-10-01,3.9,241387,33.0,2026-08-22
2016-11-01,3.86,256665,32.8,2026-08-22
2016-12-01,3.75,290110,31.82,2026-08-22
2017-01-01,3.79,232575,32.55,2026-08-22
2017-02-01,3.82,207853,31.79,2026-08-22
2017-03-01,3.91,275100,31.73,2026-08-22
2017-04-01,4.0,228445,29.83,2026-08-22
2017-05-01,4.11,261921,28.75,2026-08-22
2017-06-01,3.8,278989,28.53,2026-08-22
2017-07-01,3.75,241546,28.96,2026-08-22
2017-08-01,3.76,266618,28.48,2026-08-22
2017-09-01,3.66,252554,26.86,2026-08-22
2017-10-01,3.69,264644,27.37,2026-08-22
2017-11-01,3.6,271685,26.82,2026-08-22
2017-12-01,3.29,306755,25.5,2026-08-22
2018-01-01,3.48,256896,25.99,2026-08-22
2018-02-01,3.49,246238,26.57,2026-08-22
2018-03-01,3.35,283413,25.89,2026-08-22
2018-04-01,3.38,281882,25.62,2026-08-22
2018-05-01,3.37,285878,24.65,2026-08-22
2018-06-01,3.11,294885,24.32,2026-08-22
2018-07-01,3.08,281671,24.15,2026-08-22
2018-08-01,3.1,312505,24.1,2026-08-22
2018-09-01,3.11,278790,24.1,2026-08-22
2018-10-01,3.11,304757,24.39,2026-08-22
2018-11-01,3.02,311115,24.37,2026-08-22
2018-12-01,2.93,344330,23.04,2026-08-22
2019-01-01,3.01,287558,24.47,2026-08-22
2019-02-01,2.96,287683,24.77,2026-08-22
2019-03-01,3.04,301338,25.04,2026-08-22
2019-04-01,3.07,308542,25.13,2026-08-22
2019-05-01,3.1,333963,24.95,2026-08-22
2019-06-01,2.99,323147,24.83,2026-08-22
2019-07-01,3.1,333542,24.71,2026-08-22
2019-08-01,3.1,337146,24.82,2026-08-22
2019-09-01,3.11,344982,24.04,2026-08-22
2019-10-01,3.09,355781,23.55,2026-08-22
2019-11-01,3.06,352886,23.63,2026-08-22
2019-12-01,2.99,410152,22.63,2026-08-22
2020-01-01,3.06,327082,23.15,2026-08-22
2020-02-01,3.1,313026,23.11,2026-08-22
2020-03-01,3.24,400907,22.73,2026-08-22
2020-04-01,3.36,301979,21.34,2026-08-22
2020-05-01,3.31,290783,20.52,2026-08-22
2020-06-01,2.95,326593,19.12,2026-08-22
2020-07-01,2.82,350054,18.88,2026-08-22
2020-08-01,2.7,352567,18.46,2026-08-22
2020-09-01,2.47,375072,17.91,2026-08-22
2020-10-01,2.4,359146,18.5,2026-08-22
2020-11-01,2.27,385113,18.36,2026-08-22
2020-12-01,2.16,408096,18.21,2026-08-22
2021-01-01,2.19,302714,19.86,2026-08-22
2021-02-01,2.28,320287,19.59,2026-08-22
2021-03-01,2.18,414095,19.76,2026-08-22
2021-04-01,2.24,386567,20.23,2026-08-22
2021-05-01,2.39,410255,19.75,2026-08-22
2021-06-01,2.32,436014,19.88,2026-08-22
2021-07-01,2.36,428075,20.26,2026-08-22
2021-08-01,2.37,447845,20.92,2026-08-22
2021-09-01,2.34,461938,21.42,2026-08-22
2021-10-01,2.33,443848,22.89,2026-08-22
2021-11-01,2.36,476407,23.91,2026-08-22
2021-12-01,2.35,519009,24.21,2026-08-22
2022-01-01,2.51,424575,25.23,2026-08-22
2022-02-01,2.57,417717,25.63,2026-08-22
2022-03-01,2.66,532919,26.54,2026-08-22
2022-04-01,2.72,479233,27.46,2026-08-22
2022-05-01,2.79,524584,27.42,2026-08-22
2022-06-01,2.73,525086,27.88,2026-08-22
2022-07-01,2.84,509408,29.24,2026-08-22
2022-08-01,2.9,563884,28.6,2026-08-22
2022-09-01,2.92,551846,28.57,2026-08-22
2022-10-01,3.04,524754,29.68,2026-08-22
2022-11-01,3.07,513115,30.52,2026-08-22
2022-12-01,3.07,557331,29.64,2026-08-22
2023-01-01,3.24,474887,30.54,2026-08-22
2023-02-01,3.36,429117,30.48,2026-08-22
2023-03-01,3.35,536836,30.99,2026-08-22
2023-04-01,3.54,445177,31.62,2026-08-22
2023-05-01,3.65,515946,31.63,2026-08-22
2023-06-01,3.61,525737,30.85,2026-08-22
2023-07-01,3.63,499759,30.43,2026-08-22
2023-08-01,3.61,557367,29.92,2026-08-22
2023-09-01,3.54,547613,29.66,2026-08-22
2023-10-01,3.56,541900,29.24,2026-08-22
2023-11-01,3.53,552939,29.01,2026-08-22
2023-12-01,3.29,597771,28.14,2026-08-22
2024-01-01,3.38,534315,28.0,2026-08-22
2024-02-01,3.38,505789,27.85,2026-08-22
2024-03-01,3.33,569569,28.14,2026-08-22
2024-04-01,3.37,568430,27.86,2026-08-22
2024-05-01,3.43,575116,27.75,2026-08-22
2024-06-01,3.29,594147,27.81,2026-08-22
2024-07-01,3.3,620348,27.74,2026-08-22
2024-08-01,3.33,627050,27.59,2026-08-22
2024-09-01,3.34,639146,27.49,2026-08-22
2024-10-01,3.3,649340,27.94,2026-08-22
2024-11-01,3.27,620293,28.45,2026-08-22
2024-12-01,3.08,699427,28.5,2026-08-22
